LAT,LONG,Temp_Alias,Cluster
48.149795,-123.558373,ES01,
48.149355,-123.559532,ES02,
48.145556,-123.567222,ES03,
48.1219,-123.5544,MS00,
48.144146,-123.56373,MS01,0.0
48.143108,-123.56169,FP01,0.0
48.142634,-123.563924,MS02,0.0
48.141446,-123.563843,FP02,6.0
48.142943,-123.56195,FP03,0.0
48.142735,-123.561276,FP04,0.0
48.144293,-123.56389,MS03,0.0
48.138823,-123.564248,FP05,0.0
48.140147,-123.564662,FP06,0.0
48.139759,-123.56517,MS04,2.0
48.139999,-123.55972,FP07,0.0
48.136908,-123.56083,FP08,0.0
48.132775,-123.5507,MS05,0.0
48.137031,-123.55782,MS06,0.0
48.134352,-123.5559,MS07,0.0
48.136053,-123.561514,FP09,0.0
48.135921,-123.56145,MS08,0.0
48.140229,-123.56332,FP10,0.0
48.129657,-123.55456,FP11,0.0
48.129888,-123.558492,MS09,0.0
48.126755,-123.55928,MS10,0.0
48.125538,-123.55717,MS11,2.0
48.121707,-123.55389,FP12,0.0
48.120666,-123.55419,MS12,0.0
48.117848,-123.551565,FP13,0.0
48.121707,-123.553889,FP14,0.0
48.120893,-123.55492,MS13,0.0
48.119473,-123.553832,MS14,0.0
48.11382,-123.55366,MS15,0.0
48.111734,-123.55285,MS16,0.0
48.104395,-123.5531,FP15,0.0
48.104153,-123.553309,MS16-5,0.0
48.101104,-123.55764,MS17,0.0
48.096357,-123.55654,MS18,0.0
48.067155,-123.578902,MS19,0.0
48.074342,-123.57186,FP16,9.0
48.073746,-123.678554,IC12,0.0
48.064639,-123.59972,IC19,0.0
48.066923,-123.58118,IC02,3.0
48.075208,-123.66852,IC09,6.0
48.066071,-123.579554,IC01,0.0
48.07458,-123.67798,IC11,8.0
48.063098,-123.57731,MS20,0.0
48.062802,-123.56431,LR11,7.0
48.060485,-123.52033,LR14,1.0
48.062955,-123.574375,LR02,3.0
48.060643,-123.52202,LR22,1.0
48.060022,-123.578634,FP17,1.0
48.061349,-123.57857,FP18,1.0
48.05413,-123.58492,MS21,6.0
48.047583,-123.590666,FP21,4.0
48.04455,-123.590626,MA01,1.0
48.041363,-123.590647,MS22,1.0
48.030793,-123.5895,MS23,3.0
48.0286,-123.5905,FP22,1.0
48.029379,-123.590839,MS24,0.0
48.02975,-123.59315,FP23,0.0
48.02495,-123.5954,HU01,9.0
48.021867,-123.596533,FP24,0.0
48.020833,-123.59427,FP25,0.0
48.016,-123.58941,GR01,5.0
47.98369,-123.60063,BO01,5.0
47.97919,-123.59872,MS25,5.0
48.011915,-123.592595,MS26,9.0
48.004213,-123.59962,MS27,2.0
47.97224,-123.591775,MS28,5.0
47.955909,-123.57434,MS29,1.0
47.946928,-123.54597,MS30,1.0
47.949962,-123.54914,FP26,1.0
47.956271,-123.57518,MS31,1.0
47.948277,-123.561555,LO01,1.0
47.942735,-123.54147,MS32,1.0
47.942523,-123.54145,MS33,1.0
47.938555,-123.51364,LL01,2.0
47.946354,-123.54169,ID01,1.0
47.865871,-123.467675,MS34,5.0
47.901704,-123.49087,MS35,4.0
47.861912,-123.468056,LS01,2.0
47.860468,-123.46828,MS36,5.0
47.807982,-123.451853,HA01,5.0
47.807324,-123.453,MS38,5.0
47.826011,-123.461664,FP28,5.0
47.75982,-123.46471,MS39,5.0
